account_id,company_size,plan,monthly_revenue,tenure_months,login_count_30d,feature_adoption_pct,support_tickets_90d,nps_score,contract_end_days,last_login_days_ago,billing_failures_6m,integrations_active,onboarding_complete,cs_health_score,churned_90d
ACCT-0023,Medium,Starter,993.69,3,14,41.9,2,MISSING,350,0,0,1,false,,0
ACCT-0024,Medium,Pro,1626.07,60,13,5.1,2,7,178,7,1,0,True,4.0,0
ACCT-0025,Large,Starter,2119.21,4,11,50.5,6,N/A,20,7,0,0,False,8.0,0
ACCT-0026,Small,Starter,498.79,24,17,27.6,1,9,257,21,2,0,0,10.0,0
ACCT-0027,Medium,Starter,230.25,14,13,54.4,0,5,57,3,0,2,1,10.0,1
ACCT-0028,Medium,Business,477.82,39,9,24.0,0,MISSING,105,3,1,2,False,3.0,0
ACCT-0029,Small,Pro,819.11,15,19,34.0,0,MISSING,127,5,0,2,0,1.0,0
ACCT-0030,Medium,Starter,307.66,14,16,46.2,2,8,251,4,0,2,false,5.0,0
ACCT-0031,Small,Pro,309.29,4,12,68.7,4,10,124,11,0,1,true,2.0,0
ACCT-0032,Small,Business,875.71,3,12,26.4,1,6,189,8,1,3,false,6.0,0
ACCT-0033,Enterprise,Starter,639.75,45,12,22.9,0,N/A,136,11,1,2,True,4.0,0
ACCT-0034,MISSING,Pro,682.82,7,13,16.5,2,7,291,14,0,4,True,9.0,0
ACCT-0035,Large,Starter,362.56,8,13,37.4,0,MISSING,148,21,0,3,true,7.0,0
ACCT-0036,Small,Starter,553.18,26,8,57.1,0,5,298,5,1,1,0,,0
ACCT-0037,Small,Pro,317.54,7,20,52.3,2,0,19,33,0,1,False,7.0,1
ACCT-0038,Large,Starter,1355.82,55,11,55.6,0,6,270,2,0,2,True,,0
ACCT-0039,Medium,Pro,1522.64,24,13,59.4,1,5,56,10,0,3,True,8.0,0
ACCT-0040,Small,Business,151.87,16,11,25.4,1,9,2,6,0,3,true,3.0,0
ACCT-0041,Medium,Starter,316.21,38,21,2.3,3,5,244,14,0,2,False,3.0,1
ACCT-0042,Small,Pro,200.89,1,11,26.0,1,N/A,110,5,1,0,false,2.0,0
ACCT-0043,Enterprise,Starter,395.43,5,9,56.2,2,6,175,12,0,1,1,1.0,1
ACCT-0044,Small,Enterprise,622.19,11,8,18.6,3,N/A,193,21,0,3,true,3.0,0
ACCT-0045,Large,Pro,208.57,5,12,55.6,1,9,82,11,0,4,False,10.0,0
ACCT-0046,Small,Business,318.15,25,16,36.4,2,MISSING,247,12,0,2,1,7.0,0
ACCT-0047,Medium,Pro,297.92,45,12,39.4,2,MISSING,322,1,1,4,true,9.0,0
ACCT-0048,Medium,Starter,785.1,10,9,55.7,0,MISSING,-26,2,1,3,false,9.0,0
ACCT-0049,Small,Pro,703.08,8,15,28.0,4,N/A,351,29,0,1,false,,0
ACCT-0050,MISSING,Enterprise,373.38,59,10,69.7,3,8,181,9,0,2,False,6.0,0
ACCT-0051,Large,Pro,766.21,11,18,40.5,3,N/A,225,7,0,3,False,5.0,0
ACCT-0052,Enterprise,Business,429.51,12,6,75.4,2,MISSING,303,4,0,2,false,2.0,0
ACCT-0053,Enterprise,Business,535.22,8,12,40.3,3,0,-1,0,0,2,false,7.0,0
ACCT-0054,Medium,Starter,2537.06,43,22,26.2,1,9,316,4,0,2,true,1.0,0
ACCT-0055,Enterprise,Starter,1943.74,15,12,57.6,1,5,51,6,0,1,0,6.0,1
ACCT-0056,Small,Pro,235.18,26,13,41.6,1,9,205,2,1,3,0,4.0,0
ACCT-0057,Small,Pro,1291.79,30,8,12.7,3,8,313,2,0,4,False,3.0,0
ACCT-0058,Small,Business,1272.98,8,10,72.2,2,9,357,6,0,1,1,1.0,0
ACCT-0059,Small,Enterprise,265.44,10,13,45.2,2,9,330,7,0,1,false,6.0,0
ACCT-0060,Medium,Starter,1280.52,34,15,69.9,4,MISSING,292,2,0,1,1,7.0,0
ACCT-0061,Small,Starter,2276.39,8,11,42.5,3,9,222,7,2,2,False,1.0,0
ACCT-0062,Large,Business,270.96,28,9,20.9,1,MISSING,87,18,0,3,False,1.0,0
ACCT-0063,Medium,Starter,319.26,51,8,45.0,1,7,-1,5,0,2,True,7.0,0
ACCT-0064,Small,Business,1501.36,18,8,48.1,2,8,80,16,0,4,false,6.0,1
ACCT-0065,Medium,Pro,826.5,24,14,24.1,1,8,223,21,2,2,0,7.0,0
ACCT-0066,Small,Pro,1033.99,29,11,29.1,1,6,168,1,0,1,0,8.0,0
ACCT-0067,Large,Starter,873.47,34,13,36.2,1,7,264,1,0,4,False,8.0,0
ACCT-0068,Small,Pro,909.19,9,6,70.1,0,10,311,5,0,1,False,,0
ACCT-0069,MISSING,Pro,230.17,1,18,7.6,1,10,266,7,0,2,false,,1
ACCT-0070,Large,Pro,1537.41,9,11,34.0,2,10,256,4,0,5,True,7.0,0
ACCT-0071,Small,Starter,1695.4,20,15,63.7,2,7,213,3,0,0,True,9.0,0
ACCT-0072,Small,Business,553.62,11,14,13.6,2,7,190,8,0,2,True,6.0,0
ACCT-0073,Large,Business,642.4,25,12,94.5,1,10,125,0,0,2,True,9.0,0
ACCT-0074,Large,Starter,195.41,8,11,58.6,4,4,352,28,0,1,true,2.0,0
ACCT-0075,Large,Starter,1003.66,18,11,16.0,2,6,205,2,0,4,false,2.0,0
ACCT-0076,Large,Starter,1051.16,4,15,39.5,1,1,289,20,0,7,false,,0
ACCT-0077,Small,Pro,632.86,25,7,23.3,0,2,342,1,0,5,false,3.0,0
ACCT-0078,Medium,Pro,1635.14,14,18,23.6,1,6,-12,2,1,2,0,2.0,0
ACCT-0079,Small,Pro,509.15,4,12,41.6,0,0,184,2,1,4,True,,0
ACCT-0080,Enterprise,Starter,1044.91,6,10,5.6,1,6,336,44,0,3,True,7.0,1
ACCT-0081,Medium,Starter,294.2,25,12,7.0,1,10,83,0,0,2,0,8.0,0
ACCT-0082,Small,Pro,652.73,12,7,42.5,3,2,169,8,0,2,0,6.0,0
ACCT-0083,Small,Pro,578.55,4,19,29.5,2,8,-6,16,0,1,False,9.0,0
ACCT-0084,Small,Enterprise,796.52,60,9,45.3,2,MISSING,90,9,1,2,true,,0
ACCT-0085,Small,Starter,494.91,23,7,39.1,0,N/A,199,4,0,5,0,2.0,0
ACCT-0086,Large,Pro,598.74,57,8,21.9,1,7,68,25,0,0,false,10.0,0
ACCT-0087,Medium,Pro,1287.99,10,12,50.2,2,MISSING,315,18,0,0,true,5.0,0
ACCT-0088,Enterprise,Pro,468.99,12,7,43.8,1,7,-28,5,2,3,0,9.0,0
ACCT-0089,Medium,Business,183.96,41,12,88.2,1,2,355,7,0,2,false,3.0,0
ACCT-0090,Small,Pro,2696.38,13,16,27.6,1,MISSING,230,27,0,2,True,,0
ACCT-0091,Large,Enterprise,2008.54,22,15,17.0,1,MISSING,223,32,1,4,True,8.0,1
ACCT-0092,Large,Starter,236.56,5,13,58.5,1,8,-11,5,1,2,false,2.0,1
ACCT-0093,Medium,Starter,1154.9,11,11,36.5,1,10,173,15,1,1,1,6.0,0
ACCT-0094,Large,Business,444.8,2,14,19.1,0,10,263,3,0,4,True,4.0,0
ACCT-0095,Medium,Pro,821.22,4,13,42.9,3,5,326,4,0,0,False,6.0,0
ACCT-0096,Medium,Starter,841.66,1,17,45.9,2,5,97,1,2,3,0,3.0,0
ACCT-0097,Medium,Starter,551.41,1,6,38.0,2,8,327,2,1,1,True,6.0,0
ACCT-0098,Small,Starter,355.31,60,12,49.0,3,MISSING,261,9,1,3,False,7.0,0
ACCT-0099,Small,Business,382.82,5,9,25.4,1,0,143,6,0,2,true,10.0,0
ACCT-0100,Small,Starter,319.59,20,10,59.0,1,N/A,190,2,0,2,True,3.0,0
ACCT-0101,Medium,Starter,341.91,33,9,47.4,3,2,324,4,0,2,0,5.0,0
ACCT-0102,Small,Starter,630.34,14,9,15.4,1,8,338,4,0,2,True,8.0,1
ACCT-0103,Medium,Starter,375.17,3,7,50.9,5,10,6,35,1,0,0,,1
ACCT-0104,Enterprise,Starter,1147.85,23,13,28.2,0,N/A,279,15,0,2,true,7.0,1
ACCT-0105,Small,Pro,2185.93,17,10,91.7,1,2,118,4,0,2,0,1.0,0
ACCT-0106,Medium,Starter,418.2,24,10,27.4,1,8,61,20,0,2,False,7.0,0
ACCT-0107,Large,Business,805.55,26,8,17.0,2,10,39,3,0,0,1,1.0,0
ACCT-0108,Small,Starter,992.02,60,10,24.4,2,2,53,9,1,2,0,4.0,0
ACCT-0109,Small,Pro,970.3,15,9,35.4,1,4,174,27,1,3,0,4.0,0
ACCT-0110,Small,Business,706.81,8,13,31.3,1,10,236,4,1,2,False,5.0,0
ACCT-0111,Small,Pro,1204.89,19,13,49.8,3,9,57,9,0,1,false,,0
ACCT-0112,Enterprise,Pro,978.28,1,14,12.2,1,4,221,3,0,0,false,6.0,0
ACCT-0113,Large,Starter,247.12,41,16,19.3,5,9,180,2,1,0,false,6.0,0
ACCT-0114,Medium,Starter,1333.18,2,14,38.5,1,MISSING,312,7,0,1,0,8.0,0
ACCT-0115,Enterprise,Pro,1352.67,7,11,12.9,3,0,0,31,1,2,true,10.0,0
ACCT-0116,Large,Enterprise,361.18,30,12,56.1,3,10,326,5,0,1,False,1.0,1
ACCT-0117,Small,Pro,685.64,16,15,20.6,1,2,285,22,0,0,0,,0
ACCT-0118,Enterprise,Pro,1149.02,9,13,30.2,1,0,30,20,0,1,True,2.0,0
ACCT-0119,Medium,Business,562.59,12,14,13.1,1,4,36,2,0,3,0,8.0,0
ACCT-0120,Large,Pro,1569.3,35,16,11.2,1,8,195,4,0,0,false,,1
ACCT-0121,Enterprise,Starter,4407.65,7,13,65.3,2,MISSING,304,8,1,1,False,8.0,0
ACCT-0122,Small,Pro,354.68,37,11,31.2,3,6,296,6,0,1,True,2.0,0
ACCT-0123,Small,Enterprise,220.34,2,12,20.6,2,10,36,1,0,2,False,4.0,0
ACCT-0124,Small,Starter,848.15,27,18,56.3,0,8,97,41,0,2,true,9.0,1
ACCT-0125,Medium,Pro,1184.71,34,7,86.4,0,6,80,11,0,1,false,,0
ACCT-0126,Large,Starter,552.97,4,16,33.0,0,9,241,5,2,1,1,6.0,1
ACCT-0127,Enterprise,Pro,2127.3,10,6,58.4,4,N/A,270,8,0,2,0,10.0,0
ACCT-0128,Small,Starter,227.95,3,9,60.4,0,MISSING,3,1,2,2,false,9.0,1
ACCT-0129,Medium,Pro,1157.87,22,15,45.1,0,MISSING,181,5,0,0,false,9.0,0
ACCT-0130,Medium,Business,409.65,14,16,32.2,1,7,269,21,0,3,true,7.0,0
ACCT-0131,Small,Starter,2632.01,18,13,78.9,3,N/A,342,18,0,3,True,2.0,0
ACCT-0132,Small,Pro,3274.8,4,10,16.9,2,5,94,3,1,3,false,7.0,1
ACCT-0133,Small,Business,360.21,4,12,69.2,1,N/A,72,6,0,1,True,9.0,0
ACCT-0134,Enterprise,Enterprise,428.53,1,18,30.9,0,MISSING,175,10,0,1,True,2.0,0
ACCT-0135,Small,Starter,1323.02,7,8,27.6,1,0,89,3,0,1,true,7.0,0
ACCT-0136,Medium,Starter,487.99,15,19,12.0,2,8,139,1,0,3,false,7.0,0
ACCT-0137,Large,Starter,641.41,35,8,31.5,1,10,4,6,1,0,0,,0
ACCT-0138,Medium,Enterprise,678.79,20,13,17.7,1,N/A,351,7,1,1,true,6.0,0
ACCT-0139,MISSING,Enterprise,143.2,10,14,62.5,2,5,300,0,0,2,true,8.0,0
ACCT-0140,MISSING,Pro,657.82,55,10,45.0,1,MISSING,215,1,0,4,1,10.0,0
ACCT-0141,Small,Business,383.07,23,10,49.3,1,10,309,2,1,4,0,8.0,0
ACCT-0142,Medium,Pro,448.32,48,16,28.8,0,4,278,3,0,0,true,3.0,0
ACCT-0143,Small,Pro,2110.98,13,10,56.2,2,0,27,6,0,9,1,6.0,0
ACCT-0144,Small,Starter,243.42,5,8,19.5,0,N/A,275,3,1,0,True,2.0,0
ACCT-0145,Small,Business,1274.82,1,23,25.8,3,2,110,3,0,0,0,2.0,0
ACCT-0146,Medium,Starter,532.1,23,17,22.5,1,4,80,16,0,0,0,8.0,0
ACCT-0147,Medium,Business,531.76,2,13,51.9,1,9,132,1,0,0,True,10.0,0
ACCT-0148,Small,Business,1251.75,6,11,23.5,2,10,80,5,2,0,False,5.0,0
ACCT-0149,Small,Business,873.09,14,15,51.2,0,N/A,121,24,1,4,0,5.0,0
ACCT-0150,Enterprise,Starter,1049.94,15,10,3.6,3,8,345,8,0,1,False,4.0,0
ACCT-0151,Small,Starter,1443.1,17,12,76.1,2,N/A,34,10,1,2,True,10.0,0
ACCT-0152,Small,Starter,510.28,3,16,30.3,4,MISSING,75,5,0,2,false,4.0,0
ACCT-0153,Medium,Starter,407.57,9,16,55.4,1,6,185,0,0,1,False,8.0,0
ACCT-0154,MISSING,Starter,279.19,17,11,3.4,1,N/A,60,8,0,3,true,3.0,0
ACCT-0155,Small,Enterprise,343.67,60,12,7.9,2,MISSING,-5,8,0,1,0,3.0,0
ACCT-0156,Large,Pro,7039.38,23,21,76.3,2,N/A,126,1,0,0,False,8.0,0
ACCT-0157,Large,Starter,1800.36,46,7,16.3,1,N/A,41,5,1,3,0,3.0,0
ACCT-0158,Small,Starter,225.69,26,5,47.8,2,5,13,20,0,4,True,2.0,1
ACCT-0159,Large,Pro,230.91,16,9,62.1,1,9,59,2,1,1,false,5.0,0
ACCT-0160,Medium,Pro,977.98,4,11,18.5,1,9,102,5,0,2,True,3.0,0
ACCT-0161,Medium,Pro,1030.51,20,15,69.3,1,N/A,130,5,0,2,false,6.0,0
ACCT-0162,Medium,Enterprise,1031.85,18,10,45.0,4,MISSING,201,13,0,2,0,7.0,1
ACCT-0163,Medium,Pro,542.42,17,15,54.7,3,1,349,14,0,0,False,,0
ACCT-0164,Small,Enterprise,601.63,12,12,30.7,2,2,230,11,0,2,true,9.0,0
ACCT-0165,Large,Business,864.63,14,16,17.5,4,2,352,4,2,0,true,10.0,0
ACCT-0166,Small,Starter,712.45,7,12,52.6,2,N/A,338,1,0,2,True,1.0,0
ACCT-0167,Small,Enterprise,112.68,13,9,60.9,3,4,80,3,0,4,0,7.0,0
ACCT-0168,Small,Starter,553.44,4,8,47.2,3,10,133,9,1,1,false,4.0,0
ACCT-0169,Medium,Business,336.59,29,14,76.4,3,7,46,10,1,1,False,7.0,1
ACCT-0170,Large,Starter,765.22,4,18,57.5,4,8,178,27,0,1,false,9.0,1
ACCT-0171,Small,Business,7246.02,2,17,74.8,1,5,-18,5,0,2,false,9.0,0
ACCT-0172,Medium,Business,892.46,10,11,77.9,3,MISSING,27,8,0,3,false,1.0,0
ACCT-0173,Small,Business,517.59,19,18,62.2,1,10,355,6,0,1,0,10.0,0
ACCT-0174,Medium,Business,1390.53,10,7,50.6,4,MISSING,313,1,0,3,False,4.0,0
ACCT-0175,Small,Starter,978.63,6,18,16.4,0,9,5,5,0,4,0,7.0,0
ACCT-0176,Large,Starter,930.83,15,11,87.4,4,4,-6,6,2,1,false,10.0,1
ACCT-0177,Medium,Pro,1080.83,8,13,22.8,4,5,3,24,0,2,0,,0
ACCT-0178,Enterprise,Starter,3446.91,49,13,34.6,2,MISSING,109,4,0,3,true,9.0,0
ACCT-0179,Small,Pro,269.16,46,20,23.6,0,N/A,244,31,0,3,True,7.0,0
ACCT-0180,Small,Starter,971.56,13,12,36.0,0,1,339,6,0,0,1,3.0,0
ACCT-0181,Small,Enterprise,317.0,7,11,17.4,2,N/A,331,2,0,2,false,,0
ACCT-0182,Enterprise,Pro,1037.33,24,12,48.6,0,8,191,2,1,3,true,10.0,0
ACCT-0183,Enterprise,Business,318.96,1,13,34.2,2,7,6,1,0,4,0,,0
ACCT-0184,Small,Starter,476.33,12,16,42.6,2,4,332,5,0,2,true,,0
ACCT-0185,Large,Business,525.28,7,8,55.6,1,MISSING,98,0,0,1,True,10.0,0
ACCT-0186,Large,Enterprise,1451.94,46,15,8.3,1,2,285,5,0,3,True,3.0,0
ACCT-0187,Medium,Pro,1386.81,1,15,52.1,0,6,292,36,0,2,1,6.0,0
ACCT-0188,Medium,Pro,245.53,14,10,28.4,2,7,187,9,0,1,1,6.0,0
ACCT-0189,Small,Business,695.02,24,9,31.9,0,4,304,11,0,4,1,7.0,0
ACCT-0190,Small,Starter,377.03,12,8,39.6,2,9,217,1,0,5,False,6.0,0
ACCT-0191,Enterprise,Pro,243.03,2,12,20.6,1,0,80,5,0,2,False,9.0,0
ACCT-0192,Enterprise,Starter,559.13,60,18,39.4,1,7,273,3,0,1,true,,0
ACCT-0193,Medium,Starter,519.68,13,12,45.9,1,MISSING,189,18,0,3,0,5.0,0
ACCT-0194,Small,Starter,4634.92,17,15,44.1,1,7,165,2,0,3,True,8.0,0
ACCT-0195,Small,Starter,940.46,5,10,26.5,1,7,116,5,0,2,false,8.0,1
ACCT-0196,Large,Starter,220.94,12,9,30.4,2,8,313,7,0,3,True,1.0,0
ACCT-0197,Enterprise,Starter,423.34,10,9,7.0,2,9,9,6,0,0,False,3.0,0
ACCT-0198,Enterprise,Enterprise,1505.84,1,9,19.0,2,MISSING,103,14,0,4,true,6.0,0
ACCT-0199,Large,Pro,3536.01,2,16,12.0,0,5,321,2,0,1,false,6.0,1
ACCT-0200,Medium,Enterprise,187.02,33,8,55.2,4,MISSING,160,4,1,0,1,1.0,1
ACCT-0201,Small,Pro,147.83,5,10,23.4,3,N/A,132,13,0,2,1,2.0,0
ACCT-0202,Small,Starter,2971.35,4,11,39.3,2,N/A,30,6,2,2,False,,1
ACCT-0203,Enterprise,Pro,908.41,13,13,38.8,2,3,-26,4,1,0,true,7.0,0
ACCT-0204,Medium,Pro,332.08,26,19,31.1,0,0,6,0,1,3,0,,0
ACCT-0205,Small,Starter,1020.15,1,9,16.1,0,10,186,11,1,4,True,10.0,1
ACCT-0206,Small,Pro,80.75,15,13,29.4,2,MISSING,194,29,0,2,False,,0
ACCT-0207,Large,Starter,666.94,2,11,64.7,1,10,185,8,1,0,0,1.0,1
ACCT-0208,Small,Pro,864.59,1,14,55.4,0,5,108,16,0,2,0,6.0,0
ACCT-0209,Small,Pro,1393.28,1,10,68.8,2,3,75,6,0,3,True,7.0,0
ACCT-0210,Medium,Starter,295.56,32,11,73.8,3,N/A,68,2,1,2,false,,0
ACCT-0211,Large,Starter,712.34,2,19,33.4,1,N/A,137,0,0,2,True,3.0,0
ACCT-0212,Large,Business,317.24,1,10,65.0,1,5,233,8,0,3,false,3.0,0
ACCT-0213,Small,Pro,815.91,10,12,29.8,1,0,56,5,0,2,0,1.0,0
ACCT-0214,Large,Starter,324.97,33,14,41.1,1,8,53,12,0,1,true,3.0,0
ACCT-0215,Small,Enterprise,479.87,5,13,37.1,2,10,193,9,0,1,False,5.0,0
ACCT-0216,Small,Starter,299.87,10,7,51.1,3,N/A,-20,35,1,3,True,,0
ACCT-0217,Large,Pro,1119.8,1,17,63.9,2,MISSING,296,6,0,1,true,3.0,0
ACCT-0218,Medium,Enterprise,1321.81,11,15,35.9,1,10,155,4,0,4,true,4.0,0
ACCT-0219,Large,Starter,551.31,16,11,39.9,2,3,319,3,0,1,True,,1
ACCT-0220,Large,Starter,685.8,15,16,33.1,2,N/A,348,5,0,3,1,5.0,0
ACCT-0221,Medium,Starter,208.75,7,12,39.5,0,MISSING,200,17,0,2,0,9.0,0
ACCT-0222,Small,Starter,523.35,7,12,43.2,1,MISSING,110,0,0,3,1,,0
ACCT-0223,Medium,Starter,638.96,2,20,50.6,3,MISSING,75,30,0,1,false,,0
ACCT-0224,Small,Pro,5413.41,8,10,20.0,2,7,222,40,2,1,true,2.0,0
ACCT-0225,Small,Starter,273.26,2,16,22.3,3,N/A,18,7,0,4,False,,0
ACCT-0226,MISSING,Pro,2145.96,26,14,60.4,2,MISSING,232,3,0,1,False,3.0,0
ACCT-0227,Medium,Enterprise,1476.58,60,8,44.7,0,10,174,2,1,1,true,7.0,0
ACCT-0228,Enterprise,Business,832.56,60,5,31.3,1,6,326,3,1,3,1,,0
ACCT-0229,Medium,Pro,2715.95,36,12,77.8,4,MISSING,20,0,0,0,0,2.0,0
ACCT-0230,Large,Starter,895.77,17,15,5.9,2,8,144,5,0,2,true,8.0,0
ACCT-0231,Medium,Pro,908.08,22,8,36.7,2,4,194,0,0,1,false,5.0,0
ACCT-0232,Medium,Pro,637.47,6,16,34.5,1,3,230,10,0,3,true,6.0,0
ACCT-0233,Medium,Pro,1770.21,18,11,58.8,0,10,191,4,0,1,True,,0
ACCT-0234,Small,Starter,1599.07,11,8,39.4,3,8,192,2,0,1,1,6.0,0
ACCT-0235,Large,Business,403.21,12,19,36.9,1,3,238,6,0,3,True,10.0,1
ACCT-0236,Small,Pro,231.51,26,9,53.3,1,N/A,267,29,0,1,True,3.0,0
ACCT-0237,Small,Starter,565.45,6,18,15.7,2,N/A,350,10,0,3,true,7.0,0
ACCT-0238,Medium,Starter,350.71,7,10,41.2,0,N/A,358,5,0,3,0,4.0,0
ACCT-0239,Small,Pro,632.18,47,10,40.6,3,5,287,12,0,4,true,6.0,0
ACCT-0240,Enterprise,Business,1789.96,1,12,66.7,0,N/A,354,11,0,3,0,6.0,0
ACCT-0241,MISSING,Business,461.35,12,9,82.2,2,0,43,18,0,3,False,5.0,0
ACCT-0242,Enterprise,Business,642.74,44,9,65.6,1,7,83,2,0,0,0,1.0,0
ACCT-0243,Medium,Starter,696.74,17,10,31.7,2,8,188,16,0,3,True,,0
ACCT-0244,Small,Pro,1311.26,14,12,19.9,2,MISSING,23,3,0,2,true,10.0,0
ACCT-0245,Enterprise,Pro,110.22,5,9,26.0,1,8,169,23,1,4,False,2.0,0
ACCT-0246,Medium,Starter,409.38,8,10,23.5,0,0,341,3,0,1,True,4.0,0
ACCT-0247,MISSING,Starter,787.63,34,12,14.5,2,7,100,21,0,1,False,3.0,0
ACCT-0248,MISSING,Business,1737.26,15,13,63.9,0,9,308,27,0,0,1,6.0,0
ACCT-0249,Enterprise,Starter,448.76,13,11,59.9,2,MISSING,161,1,0,2,false,1.0,0
ACCT-0250,Small,Pro,148.23,2,14,38.3,2,MISSING,148,29,0,0,True,,0
ACCT-0251,Medium,Starter,1092.0,1,13,33.2,2,5,355,1,0,2,true,5.0,0
ACCT-0252,Enterprise,Starter,400.1,60,11,54.2,2,5,274,2,0,2,0,5.0,0
ACCT-0253,Small,Starter,256.79,9,9,37.9,0,4,256,5,0,1,1,,0
ACCT-0254,Small,Enterprise,403.64,17,12,31.2,0,N/A,209,40,0,0,False,4.0,0
ACCT-0255,Medium,Business,573.86,1,15,32.3,2,0,214,5,0,4,false,1.0,0
ACCT-0256,Enterprise,Enterprise,410.02,21,13,63.7,1,4,299,6,1,3,0,9.0,0
ACCT-0257,Large,Pro,113.93,49,18,21.8,1,9,86,9,0,2,True,9.0,0
ACCT-0258,Medium,Starter,1363.29,15,14,59.4,3,6,177,28,0,0,false,4.0,0
ACCT-0259,Small,Pro,1844.38,2,9,46.7,2,3,181,12,0,1,1,,0
ACCT-0260,Medium,Pro,1120.15,16,17,75.8,3,7,228,2,1,0,false,10.0,0
ACCT-0261,MISSING,Business,267.7,26,18,29.3,2,6,349,3,0,3,True,4.0,0
ACCT-0262,Small,Starter,566.12,9,12,14.8,2,9,132,1,0,2,1,7.0,1
ACCT-0263,Medium,Pro,661.68,38,15,44.8,1,MISSING,195,8,1,0,False,,0
ACCT-0264,Enterprise,Starter,1073.88,19,19,18.9,0,4,310,2,0,1,True,1.0,0
ACCT-0265,Large,Starter,1135.32,41,14,17.8,1,7,33,2,0,3,false,9.0,0
ACCT-0266,Large,Business,369.69,18,7,69.2,2,MISSING,215,18,0,1,True,2.0,0
ACCT-0267,Large,Pro,710.24,3,8,68.9,3,MISSING,-13,3,0,2,1,5.0,0
ACCT-0268,Medium,Starter,958.94,7,10,36.7,2,8,3,7,1,1,false,4.0,0
ACCT-0269,Small,Starter,2131.66,4,13,37.2,3,N/A,281,4,1,2,False,8.0,0
ACCT-0270,Large,Pro,1168.65,43,12,37.2,1,3,292,1,0,3,0,,0
ACCT-0271,Large,Business,1250.43,26,13,55.3,1,N/A,150,4,1,1,true,7.0,0
ACCT-0272,Enterprise,Business,711.28,20,13,29.4,1,MISSING,316,4,0,2,False,2.0,0
ACCT-0273,Enterprise,Enterprise,2055.69,6,10,2.4,2,9,163,18,1,1,True,4.0,0
ACCT-0274,Medium,Business,923.17,4,11,15.2,0,9,161,3,0,2,true,4.0,0
ACCT-0275,Medium,Starter,334.0,25,14,23.5,1,5,36,4,1,2,0,2.0,0
ACCT-0276,Large,Pro,2044.07,12,14,30.3,0,10,178,12,0,3,0,,0
ACCT-0277,Medium,Pro,1162.49,5,10,54.9,3,10,335,11,0,1,1,4.0,0
ACCT-0278,Large,Starter,466.64,17,14,67.1,1,10,136,13,0,0,0,9.0,0
ACCT-0279,Large,Business,453.23,1,10,23.6,2,0,215,25,0,2,false,8.0,0
ACCT-0280,Enterprise,Starter,843.25,7,16,38.2,1,9,214,13,0,4,false,,0
ACCT-0281,Small,Enterprise,963.48,11,20,59.1,0,10,135,4,0,2,1,8.0,0
ACCT-0282,Medium,Pro,778.86,3,9,24.5,2,5,265,14,0,2,0,9.0,0
ACCT-0283,Small,Pro,853.25,60,17,65.2,0,5,180,6,0,2,True,8.0,0
